Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu
DAV,0,0-30ans,Ex PC,33031.31701604379,668029.07,1042,64,633090.07,89212.76000000001,903157.625177076,19991.07866558339,12628857.12156731
DAV,0,0-30ans,GP,2623712.858245709,65151952.98999999,127675,13050,62903360.43000001,10731881.88,79568643.76741424,1319046.324405596,1360011918.040207
DAV,0,0-30ans,NC,1496297.842123484,869727.0199999996,152208,0,0.0,0.0,25434932.63120548,7279662.242738666,0.0
DAV,0,0-30ans,PC,4680228.121969076,76832866.52,30473,2651,75687885.94000001,30552260.53,83008132.4940066,1117560.357144481,1461861710.238116
DAV,0,0-30ans,PP,203052.1831481705,4061336.12,8497,706,3881358.13,978363.57,5227363.651694011,66258.86357612867,76864624.63133167
DAV,0,30-40ans,Ex PC,33057.41501311772,576238.46,981,49,546431.76,116982.3,768721.2507249092,29933.14659063019,10936683.49305693
DAV,0,30-40ans,GP,2968410.624577509,56655613.31000001,111791,7846,53778757.62,11475647.36,75329415.99215142,4084262.125758541,1285317567.35816
DAV,0,30-40ans,NC,2092464.351462826,1414786.67,296229,0,0.0,0.0,41404148.77965418,12998577.68626209,0.0
DAV,0,30-40ans,PC,4346313.787176352,61929441.30999999,20467,2189,60381513.73,26001272.83,71790942.51250948,3313125.519851311,1220679284.232519
DAV,0,30-40ans,PP,590375.8878814431,7265356.4,6187,669,6747114.24,1884856.77,10914494.26094177,643895.6403546638,179787589.698977
DAV,0,40-50ans,Ex PC,58578.52753379125,968193.3200000001,1017,45,950399.72,230928.0,1093433.667486038,113672.8079540917,18767772.33469662
DAV,0,40-50ans,GP,4876823.460037075,84554245.05000003,167760,10816,79864317.09,20327967.91,115491800.322548,15295400.03310055,2037019883.013411
DAV,0,40-50ans,NC,2656108.424258945,1882640.75,391129,0,0.0,0.0,48322476.17513993,15037565.99360815,0.0
DAV,0,40-50ans,PC,9943643.569113202,133420882.55,46810,5318,130440697.55,57735952.28,153144946.5150988,19236866.28800898,2773656989.385319
DAV,0,40-50ans,PP,1357181.807798768,18090250.59,18519,1679,16754601.23,4696823.13,27312799.08098858,3451974.022234932,447985056.4121811
DAV,0,50-60ans,Ex PC,76813.24072714687,1502194.61,1520,76,1463700.28,281323.74,1768569.457577744,442709.010023693,27812518.74519398
DAV,0,50-60ans,GP,7730685.020793887,152626938.2799999,215602,14693,145734869.73,32161598.72,203581909.2333052,60148583.07075064,3422494839.278069
DAV,0,50-60ans,NC,1845223.718923423,1420966.83,153203,2,687.12,0.0,31031213.3735354,9609879.293189816,0.0
DAV,0,50-60ans,PC,22258419.4474499,333986312.06,104304,11507,328208895.0,135545526.74,372761389.4846974,108166820.5551634,6556186204.907057
DAV,0,50-60ans,PP,3092467.521906769,46978400.83,31958,3307,45113610.87,11776858.83,59839344.70230696,17993164.15314519,1019261251.928076
DAV,0,60-70ans,Ex PC,136398.587033507,2524962.78,2022,98,2498335.02,637164.2000000001,2712105.398915675,1291269.423126389,43528187.45397652
DAV,0,60-70ans,GP,7741434.988151062,205439642.9100001,285755,13885,200521693.24,38271739.47,246211777.7926856,120197905.2311516,3766664851.337478
DAV,0,60-70ans,NC,2149333.291386992,474214.76,56905,0,0.0,0.0,33858558.52990124,7939724.950268283,0.0
DAV,0,60-70ans,PC,28341442.89676862,535008081.1,138726,13131,531293987.28,188338093.38,558383688.3534007,289040752.206433,9257329213.707993
DAV,0,60-70ans,PP,4788430.903972964,102473274.52,55330,5957,101305896.05,23453792.2,109953356.8471167,56069025.07227878,1797058263.087214
DAV,1,+80ans,Ex PC,22959.62150027231,2436830.58,1877,65,2420345.42,14243.0,2514251.816420401,2070813.385283615,23095561.791958
DAV,1,+80ans,GP,664454.717462997,88617169.08,204474,5008,88145641.51,1548889.45,90754339.01668918,77037465.26759522,729859519.433601
DAV,1,+80ans,NC,0.0,0.0,77,0,0.0,0.0,0.0,0.0,0.0
DAV,1,+80ans,PC,1634434.983213397,213545314.45,96912,4187,213226955.4400001,8967663.370000001,214892143.832495,187205267.5565655,1711953972.414913
DAV,1,+80ans,PP,50889.63472187509,6288750.51,3620,208,6269160.639999999,88613.69,6377425.366132098,5346758.53727171,52731187.49655795
DAV,1,70-75ans,Ex PC,34762.40139727958,1257885.73,1112,48,1249663.13,147693.6,1310387.993632638,690786.4403825729,17253437.6688197
DAV,1,70-75ans,GP,2091509.860311878,80372358.28999995,147808,5354,78720156.12,12600120.6,93691980.41613457,58484649.50849876,1210562042.226692
DAV,1,70-75ans,NC,5516.580127003162,13297.2,4417,0,0.0,0.0,106495.7022627288,34705.14361560406,0.0
DAV,1,70-75ans,PC,9113859.94714899,229784866.53,76096,5213,229036387.78,78688898.89,233941000.2332691,157866593.3440108,3387176718.112185
DAV,1,70-75ans,PP,1437385.715235209,43962209.56,28552,2545,43694267.52,8264892.41,45566658.1683971,30461215.85103428,652088893.1846101
DAV,1,75-80ans,Ex PC,9774.992811297703,519004.03,752,35,513725.52,41710.0,551906.3445665853,327457.6107096695,5983821.665151165
DAV,1,75-80ans,GP,958209.9892768783,56455714.53000001,115896,4157,55801215.60000001,5477944.310000001,60297980.07073285,44096171.87727602,695301359.9368663
DAV,1,75-80ans,NC,2231.669184304358,4615.32,330,0,0.0,0.0,37283.67925399175,12045.30928367571,0.0
DAV,1,75-80ans,PC,3447901.381053356,138318644.26,53430,3150,137876715.67,34657249.95,140511065.372938,106269150.0352833,1678475193.527778
DAV,1,75-80ans,PP,274446.811332393,11258310.59,8167,571,11177678.84,1916595.4,11731343.38810027,8265254.221990649,140543337.7929667
MMA Agents,0,0-30ans,GP,435698.5623181412,12411786.54,34643,2433,11918141.43,3335462.04,15201247.10265057,195988.069148959,246518065.7255164
MMA Agents,0,0-30ans,NC,128377.6846863643,168393.9300000002,11106,0,0.0,0.0,3181877.800140965,1059565.307446941,0.0
MMA Agents,0,0-30ans,PC,1171101.429984187,12971690.31,4407,380,12870331.4,6181032.27,13571160.8681804,176447.1411632372,267566264.7928427
MMA Agents,0,0-30ans,PP,13271.2725513539,698155.2000000001,820,61,664912.84,161876.44,827499.3293816953,3510.528950446756,7052491.660277588
MMA Agents,0,30-40ans,GP,758569.31848556,15659764.36000001,28575,1865,14968683.37,4545241.17,20151562.25895767,985154.2552850059,368476121.10939
MMA Agents,0,30-40ans,NC,279577.1733155238,463221.0600000009,31316,0,0.0,0.0,8572496.415965505,2854641.306516513,0.0
MMA Agents,0,30-40ans,PC,571481.4089071329,7696871.67,1278,121,7556168.18,2725001.82,8679538.76600265,441599.5842836977,164458835.4486074
MMA Agents,0,30-40ans,PP,19420.41039175212,185202.67,230,20,141521.05,85998.61000000002,469335.4098773127,24437.61332881109,7832196.194361079
MMA Agents,0,40-50ans,GP,1660795.086926627,30439736.59000003,55168,3673,28877437.41,10624527.28,40476737.75118716,5191320.199304922,765719035.0207002
MMA Agents,0,40-50ans,NC,385233.0293295133,559793.9700000006,165972,0,0.0,0.0,9370208.653716708,3120279.481687664,0.0
MMA Agents,0,40-50ans,PC,1496985.520131081,21333570.53,3774,431,21015524.59,7795011.939999999,23577710.20844254,3247156.557770567,460000579.1941355
MMA Agents,0,40-50ans,PP,147907.283134702,2447287.31,1027,117,2169029.89,900484.07,4246557.508446591,393643.305127593,61677049.78721715
MMA Agents,0,50-60ans,GP,2446688.353979145,58307332.62999991,73632,5282,56192646.72,15733751.95,71655557.78276457,19214625.50192462,1183542486.89442
MMA Agents,0,50-60ans,NC,172609.9045078387,293290.1100000002,28503,2,687.12,0.0,3960158.361551129,1318732.734396526,0.0
MMA Agents,0,50-60ans,PC,3693682.418458662,61381808.05,11007,1188,60505970.73999999,21661815.13,67574391.31689842,20537936.63025317,1252906684.603312
MMA Agents,0,50-60ans,PP,187998.6636541087,5103907.26,1947,205,4800102.58,1576890.71,6986956.368383926,1212397.136011628,89390716.34224728
MMA Agents,0,60-70ans,GP,2077633.862418897,69907932.54000005,80181,3878,68868809.62,15072882.76,75610327.68234082,31064041.29100603,1079079632.253776
MMA Agents,0,60-70ans,NC,41271.50786429441,105460.9,12725,0,0.0,0.0,769693.3803404843,256307.8956533812,0.0
MMA Agents,0,60-70ans,PC,3941823.647527416,96242585.59000002,19030,1398,95782829.3,29038664.45,99313840.68917793,48558041.29272597,1593165988.317206
MMA Agents,0,60-70ans,PP,204123.353692655,9005655.250000002,1844,142,8862222.27,2366921.59,9889664.384752478,2439908.340437199,102492757.3689154
MMA Agents,1,+80ans,GP,171857.5986322557,25159492.63,46793,1123,25051693.96,1005717.09,25563823.90733903,19756115.70404159,167096176.0180528
MMA Agents,1,+80ans,NC,0.0,0.0,74,0,0.0,0.0,0.0,0.0,0.0
MMA Agents,1,+80ans,PC,274998.2718698219,34741369.32000001,21415,484,34704174.09,2612972.77,34882186.46012279,28677278.83449318,237266730.1718114
MMA Agents,1,+80ans,PP,6750.455854607163,1104003.85,1031,27,1099317.01,34278.89,1118739.551933011,638837.9447922668,6143491.960121424
MMA Agents,1,70-75ans,GP,528474.2985867762,25914854.27000004,40171,1359,25546222.94,4998903.34,27746559.15910799,14993874.21208579,329781395.7069819
MMA Agents,1,70-75ans,NC,1151.493322389915,7871.52,1329,0,0.0,0.0,36513.94542915473,12159.14382790853,0.0
MMA Agents,1,70-75ans,PC,951686.3486568651,32717452.92,12128,512,32683763.37,9313168.91,32909210.84690245,20561983.89310534,440223198.314519
MMA Agents,1,70-75ans,PP,32260.95801964789,2170398.87,850,38,2157563.9,415975.55,2225711.071712915,686343.4521729712,18944336.75019573
MMA Agents,1,75-80ans,GP,227270.8710565181,16084065.80000001,27278,836,15876656.96,1968741.44,17022685.28891259,10548446.06385487,167321412.7972364
MMA Agents,1,75-80ans,NC,136.9046246679483,1009.8,165,0,0.0,0.0,4547.8010522882,1514.417750411971,0.0
MMA Agents,1,75-80ans,PC,432099.3817310203,23391047.2,9594,374,23379591.05,5566320.33,23448494.73637512,16460731.47510493,251584329.9760749
MMA Agents,1,75-80ans,PP,13169.3665654838,1143818.34,563,23,1142453.64,187853.95,1148682.828131112,479033.6824169862,8744109.131537635
