Marque,Pat,NBV,PM,CA,%CA,%UC,%NBV,Age_marque,Prime_marque,%UC_marque,pct_nbv
DAV,Confirme,83766244.13,28047319287.0,1828433309.0,0.593279947,0.333454197,0.045813125,61,20,26%,4.6
DAV,Ex Confirme,405376.103,160006840.3,11622533.55,0.0,0.150068309,0.034878463,61,20,26%,3.5
DAV,Grand Public,29655241.52,14507231981.0,964927846.6,0.313094461,0.164444451,0.030733118,61,20,26%,3.1
DAV,NC,10247175.88,0.0,180195108.9,0.0,0.0,0.056867114,61,20,26%,5.7
DAV,Potentiel,11794230.47,4366320204.0,276922785.5,0.089854377,0.225295603,0.042590322,61,20,26%,4.3
MMA Agents,Confirme,12533858.43,4667172611.0,303956533.9,0.486877173,0.298124323,0.041235693,62,21,26%,4.1
MMA Agents,Grand Public,8306987.952,4307534326.0,293428500.9,0.470013384,0.233425791,0.028310092,62,21,26%,2.8
MMA Agents,NC,1008357.698,0.0,25895496.36,0.0,0.0,0.038939501,62,21,26%,3.9
MMA Agents,Potentiel,624901.7639,302277149.2,26913146.45,0.043109442,0.296791169,0.023219201,62,21,26%,2.3
MMA Courtage,Confirme,20398399.07,7448579524.0,546130594.7,1.0,0.484636161,0.037350772,58,44,48%,3.7
MMA Courtage,NC,56065.42969,0.0,1792119.04,0.0,0.0,0.031284434,58,44,48%,3.1
MMA CAP,Confirme,7024811.184,2435549802.0,161972786.0,1.0,0.373804791,0.043370318,62,16,37%,4.3
MMA CAP,NC,144235.8307,0.0,2299423.476,0.0,0.0,0.062726954,62,16,37%,6.3
MMA,Confirme,39957068.68,14551301936.0,1012059915.0,0.759575749,0.410882466,0.039480932,60,26,36%,3.9
MMA,Grand Public,8306987.952,4307534326.0,293428500.9,0.220225275,0.233425791,0.028310092,60,26,36%,2.8
MMA,NC,1208658.958,0.0,29987038.87,0.0,0.0,0.040306046,60,26,36%,4.0
MMA,Potentiel,624901.7639,302277149.2,26913146.45,0.020198975,0.296791169,0.023219201,60,26,36%,2.3
MAAF,Confirme,22892388.29,6288497607.0,378443016.5,0.512113775,0.29646274,0.060490978,55,15,23%,6.0
MAAF,Ex Confirme,405376.103,160006840.3,11622533.55,0.0,0.150068309,0.034878463,55,15,23%,3.5
MAAF,Grand Public,8766864.712,3771192765.0,252521730.6,0.341715532,0.186528215,0.034717268,55,15,23%,3.5
MAAF,NC,5544352.829,0.0,86201947.74,0.0,0.0,0.064318185,55,15,23%,6.4
MAAF,Potentiel,4801331.457,1485196101.0,96395021.38,0.130442936,0.276998382,0.049808915,55,15,23%,5.0
GMF,Confirme,20916787.17,7207519743.0,437930377.7,0.433370192,0.186483601,0.047762814,66,18,14%,4.8
GMF,Grand Public,12581388.85,6428504890.0,418977615.1,0.414614785,0.102823685,0.030028785,66,18,14%,3.0
GMF,NC,3494164.091,0.0,64006122.26,0.0,0.0,0.054591092,66,18,14%,5.5
GMF,Potentiel,6367997.245,2578846954.0,153614617.6,0.152015023,0.180325526,0.04145437,66,18,14%,4.1
