Marque,Segment,SEGMENT_MODOP,PVFP,collecte
DAV,EURO,Ex PC,169794.0301090381,9878359.595876329
DAV,EURO,GP,15818422.07723301,806250816.4965018
DAV,EURO,NC,0.0,0.0
DAV,EURO,PC,27029711.44622871,1218734547.671982
DAV,EURO,PP,5015450.665140645,214533299.5798216
DAV,Prevoyance,NC,10247175.87746698,180195108.8709528
DAV,UC,Ex PC,235582.0729234183,1744173.958624735
DAV,UC,GP,13836819.441624,158677030.1151583
DAV,UC,PC,56736532.68766412,609698761.1264325
DAV,UC,PP,6778779.800856949,62389485.88585581
MMA Agents,EURO,GP,4565832.873329286,224934720.8591692
MMA Agents,EURO,PC,5049919.93301498,213339698.1444073
MMA Agents,EURO,PP,301315.6136477866,18925562.26510393
MMA Agents,Prevoyance,NC,1008357.697650593,25895496.35819623
MMA Agents,UC,GP,3741155.079074639,68493780.07409036
MMA Agents,UC,PC,7483938.494251193,90616835.74769472
MMA Agents,UC,PP,323586.1502165247,7987584.187515104
MMA Courtage,EURO,PC,6024045.876084072,281455960.1050203
MMA Courtage,Prevoyance,NC,56065.42969428065,1792119.03999202
MMA Courtage,UC,PC,14374353.1918348,264674634.596444
MMA CAP,EURO,PC,1642028.290247428,101426582.5134027
MMA CAP,Prevoyance,NC,144235.8307021574,2299423.476271564
MMA CAP,UC,PC,5382782.894180392,60546203.45063082
MMA,EURO,GP,4565832.873329286,224934720.8591692
MMA,EURO,PC,12715994.09934651,596222240.7628293
MMA,EURO,PP,301315.6136477866,18925562.26510393
MMA,Prevoyance,NC,1208658.95804703,29987038.87445982
MMA,UC,GP,3741155.079074639,68493780.07409036
MMA,UC,PC,27241074.58026638,415837673.79477
MMA,UC,PP,323586.1502165247,7987584.187515104
MAAF,EURO,Ex PC,169794.0301090381,9878359.595876329
MAAF,EURO,GP,3899642.025873837,205419302.8996086
MAAF,EURO,NC,0.0,0.0
MAAF,EURO,PC,6153182.877300764,266248763.0477137
MAAF,EURO,PP,1661462.364236267,69693756.41515134
MAAF,Prevoyance,NC,5544352.828793965,86201947.73842004
MAAF,UC,Ex PC,235582.0729234183,1744173.958624735
MAAF,UC,GP,4867222.68584545,47102427.69761812
MAAF,UC,PC,16739205.40995472,112194253.4505055
MAAF,UC,PP,3139869.093088704,26701264.96490873
GMF,EURO,GP,7352947.178029882,375896792.737724
GMF,EURO,PC,8160534.469581468,356263543.8614377
GMF,EURO,PP,3052672.687256591,125913980.8995663
GMF,Prevoyance,NC,3494164.090625979,64006122.25807302
GMF,UC,GP,5228441.676703912,43080822.3434498
GMF,UC,PC,12756252.69744302,81666833.88115744
GMF,UC,PP,3315324.55755172,27700636.73343197
